0.81,0.40
0.70,0.56
0.70,0.49
0.68,0.64
0.63,0.63
0.67,0.66
0.72,0.67
0.67,0.69
0.69,0.69
0.59,0.75
0.60,0.77
0.55,0.74
0.58,0.83
0.53,0.80
0.59,0.77
0.55,0.75
0.47,0.87
0.49,0.87
0.50,0.87
0.52,0.78
0.48,0.87
0.52,0.84
0.50,0.90
0.46,0.94
0.53,0.89
0.46,0.85
0.54,0.86
0.50,0.92
0.45,0.85
0.46,0.90
0.45,0.88
0.44,0.82
0.46,0.88
0.44,0.91
0.45,0.91
0.40,0.93
0.47,0.81
0.44,0.88
0.48,0.90
0.46,0.92
0.41,0.94
0.48,0.93
0.43,0.93
0.42,0.91
0.42,0.94
0.41,0.96
0.40,0.96
0.40,0.96
0.42,0.91
0.45,0.93
0.47,0.95
0.38,0.94
0.40,0.91
0.43,0.91
0.42,0.93
0.42,0.97
0.44,0.98
0.38,0.96
0.38,0.96
0.39,0.97
0.44,0.93
0.39,0.97
0.38,0.94
0.41,0.97
0.39,0.96
0.43,0.96
0.44,0.96
0.38,1.00
0.41,0.96
0.41,0.95
0.37,0.97
0.38,0.97
0.37,0.97
0.38,0.99
0.40,0.99
0.36,0.99
0.39,0.99
0.40,0.96
0.37,1.00
0.38,0.96
0.36,0.99
0.37,0.99
0.37,1.00
0.37,1.00
0.38,0.99
0.41,0.98
0.37,0.99
0.36,0.99
0.39,0.97
0.40,0.99
0.36,0.99
0.37,0.99
0.40,0.98
0.36,0.97
0.35,0.99
0.38,0.98
0.35,1.00
0.35,0.99
0.37,1.00
0.37,0.99
0.38,0.96
0.38,0.97
0.37,0.98
0.37,0.96
0.35,0.97
0.37,0.99
0.35,0.97
0.34,0.99
0.35,0.97
0.35,1.00
0.35,0.99
0.36,0.99
0.36,0.99
0.35,0.99
0.36,1.00
0.35,1.00
0.35,1.00
0.35,1.00
0.34,0.99
0.36,1.00
